Almacenamiento interno,Capacidad,Cámara,Descripcion,Direccion,Fecha,Marca,Megapíxeles,Modelo del procesador,NFC,Núcleos del procesador,Número de artículo,Precio,Pulgadas,Sistema operativo,Tamaño,Tecnología de imagen,Tipo,Velocidad 
32 GB ,3 GB ,Sí ,"Móvil - Xiaomi Redmi 5 Plus, 5.99"", Full HD, 3 GB RAM, 32 GB, 12 MP, Dual SIM, Negro",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-5-plus-5.99-full-hd-negro-1400528#specifications,08/25/18 - 18:36:06,Xiaomi,,,,,1400528.0,179.0,5.99 ,Android 7.1.2 Nougat + MIUI 9.2 ,,,Octa-core 2 GHz ,
64 ,4 ,Sí ,"Móvil - BQ Aquaris X Pro, 5.2'', Full HD, Snapdragon 626, 4 GB RAM, 64 GB, 4G, 12 MP, Huella dactilar, Negro",https://tiendas.mediamarkt.es/p/smartphone-bq-aquaris-x-pro-negro-1363809#specifications,08/25/18 - 18:36:07,BQ,,,,8 ,1363809.0,299.0,,Android 7.1.1 Nougat ,5.2 ,,Capacitiva ,
32 GB ,3 GB ,,"Móvil - Samsung Galaxy J6, 5.6"", HD+, 3 GB RAM, 32 GB, Octa-Core, Red 4G, Dorado",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-j6-5.6-hd-3-gb-ram-1406845#specifications,08/25/18 - 18:36:09,Samsung,,,,8 ,1406845.0,199.0,5.6 ,Android ,"5.6"" ",,,
32 GB ,3 GB ,,"Móvil - Samsung Galaxy A6, 5.6"", HD+, Super AMOLED, Octa-Core, 3 GB RAM, 32 GB, 16 MP + 16 MP, Dorado",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-a6-5.6-hd-plus-1406785#specifications,08/25/18 - 18:36:10,Samsung,,,,8 ,1406785.0,249.0,5.6 ,,,Super Amoled ,,
32 GB ,3 GB ,,"Móvil - Samsung Galaxy A6, 5.6"", HD+, Super AMOLED, Octa-Core, 3 GB RAM, 32 GB, 16 MP + 16 MP, Lila",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-a6-5.6-hd-plus-1406787#specifications,08/25/18 - 18:36:12,Samsung,,,,8 ,1406787.0,249.0,5.6 ,,,Super Amoled ,,
32 ,3 GB ,Sí ,"Móvil - Xiaomi Redmi Note 5, 5.99"", Full HD, 3 GB RAM, 13 MP, Memoria 32 GB, Dual SIM, Azul",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-note-5-5.99-full-hd-4-1414004#specifications,08/25/18 - 18:36:14,Xiaomi,,,,8 ,1414004.0,199.0,,Android MIUI ,,,Snapdragon 636 ,
32GB ,,Sí ,"Móvil - iPhone 7, 32GB, Red 4G LTE, Pantalla Retina HD de 4.7"", 12 Mpx, Dorado",https://tiendas.mediamarkt.es/p/movil-iphone-7-de-32gb-con-red-4g-lte-dorado-1339998#specifications,08/25/18 - 18:36:15,Apple,,,,,1339998.0,608.0,4.7 ,iOS ,4.7 pulgadas ,,,
128 GB ,4 GB ,Sí ,"Móvil - Honor 10, 5.84"", 128 GB ROM, 4 GB RAM, 24 MP + 16 MP, Dual IA, Phantom Green",https://tiendas.mediamarkt.es/p/movil-honor-10-5.84-128-gb-rom-4-gb-ram-gris-1424591#specifications,08/25/18 - 18:36:17,Honor,,,,,1424591.0,449.0,5.84 ,Android ,,,,
32 GB ,3 GB ,Sí ,"Móvil - Honor 9 Lite, 5.65"", 32GB, 4 cámaras, 13 + 2 MP, RAM 3GB, Pantalla infinita Full HD+, Octa Core, Dual SIM, 4G, Azul",https://tiendas.mediamarkt.es/p/movil-honor-9-lite-5.65-fhd-32gb-azul-1397098#specifications,08/25/18 - 18:36:18,Honor,,,Sí ,8 ,1397098.0,199.0,5.65 ,Android 8.0 + EMUI 8.0 ,"Mas de 5,5” ",Pantalla infinita ,,
256 GB ,,,"Móvil - Apple iPhone 8 Plus, 5.5"" Full HD, Cámara 12MPx + 7MPx, Memoria interna 256 GB, Dorado ",https://tiendas.mediamarkt.es/p/movil-apple-iphone-8-plus-5.5-full-hd-1376804#specifications,08/25/18 - 18:36:20,Apple,,,,,1376804.0,1035.0,5.5 ,iOS 11 ,"5.5"" ",,Retina HD ,
16GB ,2GB ,,"Móvil - Motorola Moto E5, 5.7"", HD+, Qualcomm Snapdragon 425, 2GB RAM, 16GB, Cámara 13MP + 5MP, 4G, Flash gray",https://tiendas.mediamarkt.es/p/movil-motorola-moto-e5-5.7-hdplus-1409664#specifications,08/25/18 - 18:36:23,Motorola,,,,4 ,1409664.0,144.0,,"Android™ 8.0, Oreo™ ",,,,
32 GB ,3 GB ,,"Móvil - Samsung Galaxy A6+, 6"", FHD+, Super AMOLED, Octa-Core, 3 GB RAM, 32 GB, Dual 16 MP + 5 MP, 24 MP, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-a6-plus-6-fullhd-plus-1406783#specifications,08/25/18 - 18:36:24,Samsung,,,,8 ,1406783.0,279.0,6 ,,,Super AMOLED ,,
32 GB ,3 GB ,,"Móvil - Xiaomi Redmi S2, 6"", Full HD, 4G, 32 GB, Snapdragon 625 Octa-Core, Dual Sim, Cámara trasera dual 12 + 5 MP con IA, Sensor de huella dactilar, Gris",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-s2-6-full-hd-4g-32-gb-1427239#specifications,08/25/18 - 18:36:26,Xiaomi,,,,8 ,1427239.0,179.0,5.9 ,Oreo 8.1 ,,Full HD ,,
64GB ,,Sí ,"Móvil - iPhone 8, 64GB, Red 4G LTE, Pantalla Retina HD de 4.7"", 12 Mpx, Plata",https://tiendas.mediamarkt.es/p/movil-iphone-8-64gb-red-4g-lte-pantalla-1376794#specifications,08/25/18 - 18:36:28,Apple,,,,6 ,1376794.0,773.0,4.7 ,iOS ,"De 4” a 4,9” ","True Tone, IPS ",,
64 GB ,3500 mAh ,Sí ,"Móvil - Samsung Galaxy S8+, 6.2'', QHD+, Octa-Core, 4 GB RAM, Red 4G, 12 MP, 64 GB, Gris orquídea",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s8-plus-64-gb-gris-1360796#specifications,08/25/18 - 18:36:29,Samsung,,,,8 ,1360796.0,589.0,6.2 ,,,,,
128 GB ,4 GB ,,"Pack Móvil - Huawei P20, 5.8"" Full HD+, Kirin 970+IA, 4 GB RAM, 128 GB, Doble cámara, Dual SIM, Azul + Altavoz inalámbrico Huawei Soundstone, Negro",https://tiendas.mediamarkt.es/p/pack-movil-huawei-p20-5.8-full-hd-plus-200008048#specifications,08/25/18 - 18:36:31,Huawei,,,,8 ,200008048.0,549.0,5.8 ,Android 8 (EMUI 8.1) ,"Mas de 5,5” ",,,
32 GB ,3 GB ,,"Móvil - Samsung Galaxy A6+, 6"", FHD+, Super AMOLED, Octa-Core, 3 GB RAM, 32 GB, Dual 16 MP + 5 MP, 24 MP, Lila",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-a6-plus-6-fullhd-1406784#specifications,08/25/18 - 18:36:32,Samsung,,,,8 ,1406784.0,279.0,6 ,,,Super AMOLED ,,
2 GB ,16 GB ,,"Móvil - Huawei Y6 2018, 5.7"", HD, IPS, Snapdragon 425, 2 GB RAM, 16 GB, 4G, 13 MP + 8 MP, Dual Sim, Dorado",https://tiendas.mediamarkt.es/p/movil-huawei-y6-2018-5.7-hd-ips-dorado-1417880#specifications,08/25/18 - 18:36:34,Huawei,,,,4 ,1417880.0,149.0,5.7 ,Android ,"Mas de 5,5” ",IPS ,Capacitiva ,
16 GB ,2 GB ,Sí ,"Móvil - Nokia 5, 5.2'', 2 GB RAM, 16 GB, 13 MP + 8 MP, 4G, plata",https://tiendas.mediamarkt.es/p/movil-nokia-5-5.2-pulgadas-2-gb-ram-16-gb-1370532#specifications,08/25/18 - 18:36:35,Nokia,,,Sí ,8 ,1370532.0,129.0,5.2 ,Android™ Nougat ,"De 5” a 5,4” ",IPS LCD ,,
128 GB ,4 GB ,Sí ,"Móvil - Honor 10, 5.84"", 128 GB ROM, 4 GB RAM, 24 MP + 16 MP, Dual IA, Azul",https://tiendas.mediamarkt.es/p/movil-honor-10-5.84-128-gb-rom-4-gb-ram-azul-1418694#specifications,08/25/18 - 18:36:37,Honor,,,,,1418694.0,449.0,5.84 ,Android ,,,,
128 GB ,8 ,,"Móvil - Xiaomi Mi Mix 2 SE, 5.99"" Full HD, 4G, 128 GB, 8 GB RAM, 12MP + 5MP, Blanco",https://tiendas.mediamarkt.es/p/movil-xiaomi-mi-mix-2-se-5.99-full-hd-red-1396724#specifications,08/25/18 - 18:36:39,Xiaomi,,,Sí ,8 ,1396724.0,572.0,5.99 ,Android 7.1 Nougat MIUI 9 ,2160 X 1080 ,,,
16 GB ,2 GB ,,"Móvil - Xiaomi Redmi 5, 5.7'', HD, SnapDragon 450, 2 GB RAM, 16 GB, Cámaras 12 y 5 MP, Negro",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-5-57-pulgadas-hd-1400535#specifications,08/25/18 - 18:36:39,Xiaomi,,,,8 ,1400535.0,158.0,,Android ,"Mas de 5,5” ",,3300mAh ,
64 GB ,4 GB ,,"Móvil - BQ Aquaris X, 5.2'', Full HD, Snapdragon 626, 4 GB RAM, 4G, 64 GB, 16 MP, Huella dactilar, Negro",https://tiendas.mediamarkt.es/p/movil-bq-aquaris-x-64gb-4g-ram-16-mpx-1370627#specifications,08/25/18 - 18:36:40,BQ,,,,8 ,1370627.0,279.0,5 ,Android 7.1.1 Nougat ,"De 5” a 5,4” ",LCD IPS LTPS ,,
32 GB ,4 GB ,Sí ,"Móvil - Sony Xperia XA2 Ultra, 6"" Full HD, Snapdragon 630, 4 GB RAM, 32 GB, 23 MP, Vídeo 4K, Negro",https://tiendas.mediamarkt.es/p/movil-sony-xperia-xa2-ultra-6-full-hd-ram-1399654#specifications,08/25/18 - 18:36:42,Sony,,,,8 ,1399654.0,369.0,6 ,Android ,,,,
64GB ,4GB ,,"Móvil - Motorola Moto G6 Plus, 5.9"", Full HD+, Qualcomm Snapdragon 630, 4GB RAM, 64GB, Cámara 12MP + 8MP, 4G, índigo",https://tiendas.mediamarkt.es/p/movil-motorola-moto-g6-plus-5.9-full-hdplus-1407515#specifications,08/25/18 - 18:36:43,Motorola,,,,8 ,1407515.0,290.0,,"Android™ 8.0, Oreo™ ",,,,
16 GB ,2 GB ,Sí ,"Móvil - BQ Aquaris U2, 5.2"", Full HD, Dual SIM, 4G, Snapdragon 430, 16 GB, Cámara 13 MP, negro",https://tiendas.mediamarkt.es/p/movil-bq-aquaris-u2-5.2-dual-sim-4g-octa-1378858#specifications,08/25/18 - 18:36:45,BQ,,,,8 ,1378858.0,159.0,5.2 ,Android 7.1.2 (Nougat). Actualizable a Android 8 (Oreo) ,5.2 pulgadas ,,,
16 GB ,2350 ,,"Móvil - Samsung A3 2017, 4.7'', Red 4G, 16 GB, 13 MP, Rosa",https://tiendas.mediamarkt.es/p/movil-samsung-a3-2017-pantalla-4-7-rosa-1353458#specifications,08/25/18 - 18:36:47,Samsung,,,,,1353458.0,199.0,,Android ,4.7'' (120.4 mm) ,,,
32 GB ,3 GB ,,"Móvil - Xiaomi Redmi S2, 6"", Full HD, 4G, 32 GB, Snapdragon 625 Octa-Core, Dual Sim, Cámara trasera dual 12 + 5 MP con IA, Sensor de huella dactilar, Dorado",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-s2-6-full-hd-4g-32-gb-1427241#specifications,08/25/18 - 18:36:49,Xiaomi,,,,8 ,1427241.0,179.0,5.9 ,Oreo 8.1 ,,Full HD ,,
128 GB ,4 GB ,,"Móvil - Huawei P20, 5.8"" Full HD+, Kirin 970+IA, 4 GB RAM, 128 GB, Doble cámara, Dual SIM, Azul",https://tiendas.mediamarkt.es/p/movil-huawei-p20-5.8-full-hd-kirin-1402703#specifications,08/25/18 - 18:36:51,Huawei,,,,8 ,1402703.0,549.0,5.8 ,Android 8 (EMUI 8.1) ,"Mas de 5,5” ",,,
16 GB ,2 GB ,,"Móvil - LG K10 2017, 5.3"" HD, 13 Mpx, 2 GB RAM, Memoria de 16 GB, Dorado",https://tiendas.mediamarkt.es/p/movil-lg-k10-2017-5.3-hd-13-mpx-2-gb-ram-1370629#specifications,08/25/18 - 18:36:52,LG,,,,8 ,1370629.0,139.0,5.3 ,Android ,"De 5” a 5,4” ",,Capacitiva ,
32 GB ,,,"Móvil - iPhone SE de 32 GB, con red 4G, pantalla retina de 4"" y cámara de 12 mp, Oro",https://tiendas.mediamarkt.es/p/movil-iphone-se-de-32-gb-dorado-1360805#specifications,08/25/18 - 18:36:53,Apple,,,Sí ,,1360805.0,299.0,4 ,iOS 10 ,"4"" ",,,
32GB ,,,"Móvil - iPhone 7 PLUS de 32GB, pantalla Retina HD de 5.5"" y doble cámara, plata",https://tiendas.mediamarkt.es/p/movil-iphone-7-plus-de-32gb-pantalla-plata-1339993#specifications,08/25/18 - 18:36:54,Apple,,,,4 ,1339993.0,759.0,5.5 ,iOS 10 ,"Mas de 5,5” ",Pantalla Multi-Touch con tecnología IPS con retroiluminación por LED ,,
32 GB ,3 GB ,,"Móvil - Samsung Galaxy A6+, 6"", FHD+, Super AMOLED, Octa-Core, 3 GB RAM, 32 GB, Dual 16 MP + 5 MP, 24 MP, Dorado",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-a6-plus-6-fhd-plus-1406782#specifications,08/25/18 - 18:36:56,Samsung,,,,8 ,1406782.0,279.0,6 ,,,Super AMOLED ,,
32GB ,3GB ,,"Móvil - Motorola Moto G6 play, 5.7"", HD+, Qualcomm Snapdragon 430, 3GB RAM, 32GB, Cámara 13MP + 8MP, 4G, Fine Gold",https://tiendas.mediamarkt.es/p/movil-motorola-moto-g6-play-5.7-hdplus-1407518#specifications,08/25/18 - 18:36:58,Motorola,,,Sí ,8 ,1407518.0,199.0,,"Android™ 8.0, Oreo™ ",,,,
64 GB ,4 GB ,Sí ,"Móvil - Samsung Galaxy S9, 5.8'', Curva Super AMOLED, Octa-Core, 64 GB, 4 GB RAM, 12 MP + 8 MP, Red 4G, 3000 mAh, Violeta",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s9-5.8-violeta-1398569#specifications,08/25/18 - 18:37:00,Samsung,,,,8 ,1398569.0,805.0,5.8 ,Android ,"Mas de 5,5” ",,Curva Super AMOLED ,
32 ,3 ,Sí ,"Móvil - BQ Aquaris X2, 5.65"", Full HD+, Snapdragon 636, 3 GB RAM, 32 GB, 4G, 12 MP, Huella dactilar, Blanco",https://tiendas.mediamarkt.es/p/movil-bq-aquaris-x2-5.65-full-hd-blanco-1409782#specifications,08/25/18 - 18:37:02,BQ,,,,8 ,1409782.0,299.0,,Android™ 8.1.0 Oreo™ ,5.65 ,,Capacitiva ,
16 GB ,2 GB ,,"Móvil - Samsung Galaxy J3 (2017), 5'', HD, 16 GB, 2 GB RAM, Dual SIM, Dorado",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-j3-2017-16-gb-5-hd-1372131#specifications,08/25/18 - 18:37:03,Samsung,,,,,1372131.0,159.0,5 ,Android ,,,Capacitiva ,
16 ,1 GB ,Sí ,"Móvil - Alcatel 3C, 6"", DS, 3G, Quad Core, 16 GB, 8 MP, Negro",https://tiendas.mediamarkt.es/p/movil-alcatel-3c-6-ds-3g-quad-core-16-gb-1409183#specifications,08/25/18 - 18:37:05,Alcatel,,,,4 ,1409183.0,108.0,,Android Nougat ,"Mas de 5,5” ",,,
128 ,4 GB ,,"Móvil - OPPO A3, 6.28"", Full HD+, Mediatek P60, 4 GB RAM, 128 GB, 16 MP + 8 MP, Dual Sim, Android 8.0, Plateado",https://tiendas.mediamarkt.es/p/movil-oppo-a3-6.23-full-hd-plus-ips-mediatek-p60-1426485#specifications,08/25/18 - 18:37:05,Oppo,,,,8 ,1426485.0,299.0,6.28 ,Android 8.0 ,,,,
32GB ,,,"Móvil - iPhone 7 PLUS de 32GB, pantalla Retina HD de 5.5"" y doble cámara, Dorado",https://tiendas.mediamarkt.es/p/movil-iphone-7-plus-de-32gb-pantalla-dorado-1339994#specifications,08/25/18 - 18:37:07,Apple,,,Sí ,4 ,1339994.0,759.0,5.5 ,iOS 10 ,"5.5"" ",,,
16 GB ,2350 ,,"Móvil - Samsung A3 2017, 4.7'', Red 4G, 16 GB, 13 MP, Dorado",https://tiendas.mediamarkt.es/p/movil-samsung-a3-2017-pantalla-4-7-dorado-1353457#specifications,08/25/18 - 18:37:09,Samsung,,,,,1353457.0,199.0,,Android ,4.7'' (120.4 mm) ,,,
128 GB ,8 ,,"Pack Móvil - Xiaomi Mi Mix 2 SE, 5.99"" FHD, 128 GB, 8 GB RAM, 12MP + 5MP, Blanco + Pulsera de actividad - Xiaomi MiBand 2, Pulsómetro, Negra",https://tiendas.mediamarkt.es/p/pack-movil-xiaomi-mi-mix-2-negro-pulsera-actividad-miband-2-200007578#specifications,08/25/18 - 18:37:11,Xiaomi,,,Sí ,8 ,200007578.0,622.99,5.99 ,Android 7.1 Nougat MIUI 9 ,2160 X 1080 ,,,
32 GB ,2 GB ,Sí ,"Móvil - Xiaomi Redmi Note 5A, 5.5'', HD, 2GB RAM, 13MP, Memoria 32GB, Dual Sim, Rosa",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-note-5a-rosa-1384738#specifications,08/25/18 - 18:37:12,Xiaomi,,,,4 ,1384738.0,163.0,5.5 ,Android ,5.5 pulgadas ,,,
32 GB ,3 GB ,Sí ,"Móvil - BQ Aquaris U2, 5.2"", HD, Dual SIM, 4G, Octa-Core, 32GB, Cámara 13MP, negro",https://tiendas.mediamarkt.es/p/movil-bq-aquaris-u2-5.2-hd-dual-sim-4g-1391957#specifications,08/25/18 - 18:37:14,BQ,,,,8 ,1391957.0,179.0,5.2 ,Android 7.1.2 (Nougat). Actualizable a Android 8 (Oreo) ,5.2 pulgadas ,,,
32 GB ,4 GB ,Sí ,"Móvil - Sony Xperia XA2 Ultra, 6"" Full HD, Snapdragon 630, 4 GB RAM, 32 GB, 23 MP, Vídeo 4K, Azul",https://tiendas.mediamarkt.es/p/movil-sony-xperia-xa2-ultra-azul-1399656#specifications,08/25/18 - 18:37:15,Sony,,,,8 ,1399656.0,369.0,6 ,Android ,,,,
16 GB ,2 GB ,,"Móvil - Meizu M5, 5.2"" HD, 2 GB RAM, 16 GB de memoria, 12 + 5 MPx, Dual Sim, Negro",https://tiendas.mediamarkt.es/p/movil-meizu-m5s-5-2-hd-3-gb-ram-8-1364293#specifications,08/25/18 - 18:37:17,Meizu,,,,8 ,1364293.0,99.0,5.2 ,Android ,5.2 ,,Capacitiva ,
64 GB ,4 GB ,,"Móvil - Asus Zenfone Zoom 3 ZE553KL, 5.5"" Full HD, 4 GB RAM, Memoria de 64 GB, 13 MPx + 2*12 MPx, Negro",https://tiendas.mediamarkt.es/p/movil-asus-zenfone-zoom-s-ze553kl-5.5-1367714#specifications,08/25/18 - 18:37:18,Asus,,,,8 ,1367714.0,299.0,5.5 ,Android 6.0 Marshmallow ,,,Capacitiva ,
32GB ,,,"Móvil - iPhone 7 PLUS de 32GB, pantalla Retina HD de 5.5"" y doble cámara, Negro brillante",https://tiendas.mediamarkt.es/p/movil-iphone-7-plus-de-32gb-pantalla-1376792#specifications,08/25/18 - 18:37:19,Apple,,,Sí ,4 ,1376792.0,759.0,5.5 ,iOS 10 ,"5.5"" ",,,
64 GB ,4 GB ,Sí ,"Móvil - Samsung Galaxy S9, 5.8'', Curva Super AMOLED, Octa-Core, 64 GB, 4 GB RAM, 12 MP + 8 MP, Red 4G, 3000 mAh, Azul",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s9-5.8-azul-1398566#specifications,08/25/18 - 18:37:21,Samsung,,,,8 ,1398566.0,805.0,5.8 ,Android ,"Mas de 5,5” ",,Curva Super AMOLED ,
128 GB ,4 GB ,,"Móvil - Huawei P20, 5.8"" Full HD+, Kirin 970+IA, 4 GB RAM, 128 GB, Doble cámara, Dual SIM, Lila",https://tiendas.mediamarkt.es/p/movil-huawei-p20-5.8-full-hd-plus-kirin-1422849#specifications,08/25/18 - 18:37:23,Huawei,,,,8 ,1422849.0,549.0,5.8 ,Android 8 (EMUI 8.1) ,"Mas de 5,5” ",,,
32GB ,,Sí ,"Móvil - Apple iPhone 6S Plus, 5.5'', 32 GB, Red 4G, Dorado",https://tiendas.mediamarkt.es/p/movil-apple-iphone-6s-plus-32gb-pant-1340149#specifications,08/25/18 - 18:37:25,Apple,,,,,1340149.0,555.0,5.5 ,iOS ,"5,5"" ",,,
16 GB ,2 GB ,Sí ,"Móvil - BQ Aquaris V, 5.2'', HD, Snapdragon 435, 2 GB RAM, 16 GB, 4G, 12 MP + 8 MP, Huella dactilar, Negro",https://tiendas.mediamarkt.es/p/movil-bq-aquaris-v-16gb-4g-12-mpx-huella-1378853#specifications,08/25/18 - 18:37:26,BQ,,,,8 ,1378853.0,166.0,5.2 ,Android 7 Nougat ,,IPS ,,
64GB ,4GB ,,"Móvil - LG Q6+, 5.5"", Full HD, Snapdragon 435, 4 GB RAM, 64 GB, 13 MP + 5 MP, Negro",https://tiendas.mediamarkt.es/p/movil-lg-q6-5.5plus-full-hd-snapdragon-1386226#specifications,08/25/18 - 18:37:28,LG,,,,8 ,1386226.0,249.0,5.5 ,Android ,,,Capacitiva ,
16GB ,2GB ,,"Móvil - Motorola Moto E5, 5.7"", HD+, Qualcomm Snapdragon 425, 2GB RAM, 16GB, Cámara 13MP + 5MP, 4G, Fine gold",https://tiendas.mediamarkt.es/p/movil-motorola-moto-e5-5.7-hdplus-1409665#specifications,08/25/18 - 18:37:31,Motorola,,,Sí ,4 ,1409665.0,149.0,,"Android™ 8.0, Oreo™ ",,,,
64 GB ,4 GB ,,"Móvil - Huawei Mate 10, 5.9'', QHD, Kirin 970, 64 GB, 4 GB RAM, 12 MP + 20 MP, 4K, Negro",https://tiendas.mediamarkt.es/p/movil-huawei-mate-10-kirin-970-5.9-64-gb-1383134#specifications,08/25/18 - 18:37:32,Huawei,,,,,1383134.0,499.0,5.9 ,Android 8 Oreo ,"Mas de 5,5” ",IPS ,Capacitiva ,
64 GB ,6 GB ,Sí ,"Móvil - Samsung Galaxy S9+, 6.2, Curva Super AMOLED, Octa-Core, 64 GB, 6 GB RAM, Cámara Dual 12 MP + 12 MP, Red 4G, 3500 mAh, Dorado",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s9-plus-6.2-curva-super-amoled-1422263#specifications,08/25/18 - 18:37:34,Samsung,,,,8 ,1422263.0,899.0,6.2 ,Android ,"Mas de 5,5” ",,Curva Super AMOLED ,
128 GB ,4 GB ,,"Pack Móvil - Huawei P20, 5.8"" Full HD+, Kirin 970+IA, 4 GB RAM, 128 GB, Doble cámara, Dual SIM, Violeta + Altavoz inalámbrico Huawei Soundstone, Negro",https://tiendas.mediamarkt.es/p/pack-movil-huawei-p20-5.8-full-hd-plus-200008049#specifications,08/25/18 - 18:37:35,Huawei,,,,8 ,200008049.0,549.0,5.8 ,Android 8 (EMUI 8.1) ,"Mas de 5,5” ",,,
64 GB ,3500 mAh ,Sí ,"Móvil - Samsung Galaxy S8+, 6.2'', QHD+, Octa-Core, 4 GB RAM, Red 4G, 12 MP, 64 GB, Plata",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s8-plus-64-gb-plata-1360797#specifications,08/25/18 - 18:37:36,Samsung,,,,8 ,1360797.0,589.0,6.2 ,,,,,
256 GB ,,Sí ,"Móvil - iPhone 8, 256GB, Red 4G LTE, Pantalla Retina HD de 4.7"", 12 Mpx, Dorado",https://tiendas.mediamarkt.es/p/movil-iphone-8-256gb-red-4g-lte-pantalla-1376798#specifications,08/25/18 - 18:37:37,Apple,,,,6 ,1376798.0,935.0,4.7 ,iOS ,"De 4” a 4,9” ","True Tone, IPS ",,
128 GB ,4 GB ,Sí ,"Móvil - Honor 10, 5.84"", 128 GB ROM, 4 GB RAM, 24 MP + 16 MP, Dual IA, Negro",https://tiendas.mediamarkt.es/p/movil-honor-10-5.84-128-gb-rom-4-gb-ram-negro-1418695#specifications,08/25/18 - 18:37:40,Honor,,,,,1418695.0,449.0,5.84 ,Android ,,,,
16 GB ,2 GB ,,"Móvil - BQ Aquaris U2 Lite, 5.2"", HD, 16 GB, 2 GB RAM, 8 MP, Negro",https://tiendas.mediamarkt.es/p/movil-bq-aquaris-u2-lite-5.2-hd-16-gb-2-1378859#specifications,08/25/18 - 18:37:42,BQ,,,,4 ,1378859.0,139.0,,Android 7.1.2 (Nougat). Actualizable a Android 8 (Oreo) ,,,LiPo 3100 mAh ,
32GB ,3GB ,,"Móvil - Motorola Moto G6 play, 5.7"", HD+, Qualcomm Snapdragon 430, 3GB RAM, 32GB, Cámara 13MP + 8MP, 4G, índigo",https://tiendas.mediamarkt.es/p/movil-motorola-moto-g6-play-hdplus-32gb-1407517#specifications,08/25/18 - 18:37:44,Motorola,,,Sí ,8 ,1407517.0,193.0,,"Android™ 8.0, Oreo™ ",,,,
32GB ,,Sí ,"Móvil - iPhone 7, 32GB, Red 4G LTE, Pantalla Retina HD de 4.7"", 12 Mpx, Plata",https://tiendas.mediamarkt.es/p/movil-iphone-7-de-32gb-con-red-4g-lte-plata-1339997#specifications,08/25/18 - 18:37:46,Apple,,,,,1339997.0,608.0,4.7 ,iOS ,4.7 pulgadas ,,,
64 GB ,4 GB ,,"Móvil - LG G7 ThinQ, 6.1"", Pantalla súper brillante LCD QHD+, Qualcomm Snapdragon 845 Octa-Core, 4 GB, 64 GB, 16 MP, 8 MP, Azul",https://tiendas.mediamarkt.es/p/movil-lg-g7-thinq-qhd-plus-1418329#specifications,08/25/18 - 18:37:48,LG,,,,8 ,1418329.0,774.0,6.1 ,Android 8.0 Oreo ,,IPS ,,
16 ,2 GB ,,"Móvil - Honor 7A, 5.7"", FullView, 13 MP + 8 MP, 3000 mAh, Dual Sim, Azul",https://tiendas.mediamarkt.es/p/movil-honor-7a-5.7-fullview-13-mp-8-mp-1424791#specifications,08/25/18 - 18:37:49,Honor,,,,8 ,1424791.0,140.0,5.7 ,Android 8.0 - EMUI 8.0 ,,,FullView ,
128 ,6 GB ,,"Móvil - OPPO R15 Pro, 6.28"", Full HD+, Qualcomm Snapdragon 660, 6 GB RAM, 128 GB, 16 MP + 20 MP, 20 MP, Violeta",https://tiendas.mediamarkt.es/p/movil-oppo-r15-pro-6.28-full-hd-plus-1426486#specifications,08/25/18 - 18:37:51,Oppo,,,,8 ,1426486.0,649.0,6.28 ,Android 8.1 Oreo ,,IA ,,
8 GB ,1 GB ,,"Móvil - Nokia 1, 4.5"" FWVGA, IPS, MediaTek MT6737M, 1 GB RAM, 8 GB, 5 MP + 2 MP, Dual SIM, Rojo",https://tiendas.mediamarkt.es/p/movil-nokia-1-4.5-fwvga-ips-mediatek-rojo-1404169#specifications,08/25/18 - 18:37:52,Nokia,,,,4 ,1404169.0,89.0,4.5 ,Android 8.1 Oreo (Go Edition) ,,,,
64 GB ,4 GB ,Sí ,"Móvil - Samsung Galaxy S9, 5.8'', Curva Super AMOLED, Octa-Core, 64 GB, 4 GB RAM, 12 MP + 8 MP, Red 4G, 3000 mAh, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s9-5.8-negro-1398567#specifications,08/25/18 - 18:37:54,Samsung,,,,8 ,1398567.0,805.0,5.8 ,Android ,"Mas de 5,5” ",,Curva Super AMOLED ,
