Almacenamiento interno,Capacidad,Cámara,Descripcion,Direccion,Fecha,Marca,Megapíxeles,Modelo del procesador,NFC,Núcleos del procesador,Número de artículo,Precio,Pulgadas,Sistema operativo,Tamaño,Tecnología de imagen,Tipo,Velocidad 
32GB ,3GB ,,"Móvil - Huawei P Smart, 5.65"", Full HD+, Kirin 659, 3 GB RAM, 32 GB, 13 MP + 2 MP, Negro",https://tiendas.mediamarkt.es/p/movil-huawei-p-smart-negro-5.65-full-hd-1391164#specifications,08/25/18 - 18:35:01,Huawei,,,,8 ,1391164.0,195.0,,Android O + EMUI 8 ,"Mas de 5,5” ",424 ppi ,,
64 GB ,4 GB ,,"Móvil - Huawei Mate 10 Lite, 5.9"", HD, Kirin 659, 64 GB, 4 GB RAM, 16 MP + 2 MP, Dorado",https://tiendas.mediamarkt.es/p/movil-huawei-mate-10-lite-5.9-hd-kirin-1381675#specifications,08/25/18 - 18:35:01,Huawei,,,,8 ,1381675.0,246.0,5.9 ,Android ,,,Capacitiva ,
16 GB ,3 GB ,Sí ,"Móvil - Huawei P8 Lite 2017, 5.2"", Full HD, Kirin 655, 3 GB RAM, 16 GB, 4G, 12 MP, Negro",https://tiendas.mediamarkt.es/p/movil-huawei-p8-lite-2017-5.2-full-hd-1354092#specifications,08/25/18 - 18:35:02,Huawei,,,Sí ,8 ,1354092.0,169.0,5.2 ,Android 7.0 + EMUI 5.0 ,"De 5” a 5,4” ",,,
64 GB ,4 GB ,,"Pack Huawei P20 Lite, FullView 5.84"" Full HD+, Kirin 659, 4 GB RAM, 64 GB, Dual cámara, Azul + Altavoz inalámbrico - Huawei SoundStone, Bluetooth, Negro",https://tiendas.mediamarkt.es/p/pack-huawei-p20-lite-fullview-5.84-full-200008051#specifications,08/25/18 - 18:35:05,Huawei,,,,8 ,200008051.0,296.0,5.84 ,Android 8 (EMUI 8.1) ,,,,
32 GB ,,,"Móvil - iPhone SE de 32 GB, Red 4G, Pantalla Retina 4"", 12 MP, 4K, Gris espacial",https://tiendas.mediamarkt.es/p/movil-iphone-se-de-32-gb-gris-espacial-1360803#specifications,08/25/18 - 18:35:06,Apple,,,Sí ,,1360803.0,299.0,4 ,iOS 10 ,"4"" ",,,
16GB ,3GB ,,"Móvil - Samsung Galaxy J7 (2017), 5.5'', Full HD, 16 GB, Octa-Core, Red 4G, Azul",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-j7-2017-16gb-azul-1367562#specifications,08/25/18 - 18:35:07,Samsung,,,,8 ,1367562.0,199.0,5.5 ,Android ,,,,
16GB ,3GB ,,"Móvil - Samsung Galaxy J7 (2017), 5.5"", Full HD, 16 GB, Octa-Core, Red 4G, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-j7-2017-5.5-full-hd-1367561#specifications,08/25/18 - 18:35:09,Samsung,,,,8 ,1367561.0,199.0,5.5 ,Android ,,Super Amoled ,,
64 GB ,4 GB ,Sí ,"Móvil - Samsung Galaxy S8, 5.8"", Octa-Core, 64 GB, 12 MP, Red 4G, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s8-5.8-octa-core-64-1360792#specifications,08/25/18 - 18:35:10,Samsung,,,,8 ,1360792.0,498.0,5.8 ,,"Mas de 5,5” ",,,
16 GB ,2 GB ,,"Móvil - Samsung Galaxy J5 2017, 5.2"" HD, 2 GB RAM, 16 GB, 13 MP, Oro",https://tiendas.mediamarkt.es/p/movil-samsung-j5-2017-5.2-hd-2-gb-ram-1367563#specifications,08/25/18 - 18:35:11,Samsung,,,,8 ,1367563.0,169.0,,Android ,"5.2"" ",,Capacitiva ,
64 GB ,6 GB ,Sí ,"Móvil - Samsung Galaxy S9+, 6.2'', Curva Super AMOLED, Octa-Core, 64 GB, 6 GB RAM, Cámara Dual 12 MP + 12 MP, Red 4G, 3500 mAh, Violeta",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s9-plus-6.2-violeta-1398572#specifications,08/25/18 - 18:35:12,Samsung,,,,8 ,1398572.0,899.0,6.2 ,Android ,"Mas de 5,5” ",,Curva Super AMOLED ,
32 ,3 GB ,Sí ,"Móvil - Xiaomi Redmi Note 5, 5.99"", Full HD, 3 GB RAM, 13 MP, Memoria 32 GB, Dual SIM, Negro",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-note-5-5.99-full-hd-4-1414005#specifications,08/25/18 - 18:35:13,Xiaomi,,,,8 ,1414005.0,183.0,,Android MIUI ,,,Snapdragon 636 ,
64 GB ,,Sí ,"Móvil - Samsung Galaxy S8, 5.8'', Octa-Core, 64 GB, 12 MP, Red 4G, Plateado",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s8-5-8-plateado-1360794#specifications,08/25/18 - 18:35:13,Samsung,,,,8 ,1360794.0,498.0,5.8 ,,,,,
64 GB ,,Sí ,"Móvil - Samsung Galaxy S8, 5.8'', Octa-Core, 64 GB, 12 MP, Red 4G, Gris orquídea",https://tiendas.mediamarkt.es/p/samsung-galaxy-s8-gris-orquidea-1360793#specifications,08/25/18 - 18:35:14,Samsung,,,,8 ,1360793.0,497.0,5.8 ,,,,,
64 GB ,4 GB ,,"Móvil - Huawei Mate 10 Lite, 5.9'', HD, Kirin 659, 64 GB, 4 GB RAM, 16 MP + 2 MP, Negro",https://tiendas.mediamarkt.es/p/movil-huawei-mate-10-lite-5.9-hd-kirin-1381679#specifications,08/25/18 - 18:35:16,Huawei,,,,8 ,1381679.0,245.0,5.9 ,Android ,,,Capacitiva ,
